2026-03-08 15:13:18.002 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 138.471.969-89
2026-03-08 15:13:18.104 [http-nio-8080-exec-6] WARN  C.Circuit.Service.LoginService - Tentativa de login falhou: CPF não encontrado - 138.471.969-89
2026-03-08 15:13:25.344 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 139.471.969-89
2026-03-08 15:13:25.354 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 139.471.969-89, Nome: Gustavo Erthal, Cargo: ADMIN
2026-03-08 15:13:40.856 [http-nio-8080-exec-5] INFO  C.Circuit.Service.FornecedorService - Tentativa de edição de fornecedor - ID: 1, Razão Social atual: GugsDisplays Ltda, Razão Social nova: GugsDisplays Ltda
2026-03-08 15:13:40.886 [http-nio-8080-exec-5] INFO  C.Circuit.Service.FornecedorService - Fornecedor editado com sucesso - ID: 1, Razão Social: GugsDisplays Ltda, CNPJ: 12.345.678/0001-90
2026-03-08 15:35:52.056 [http-nio-8080-exec-2] INFO  C.Circuit.Service.PedidoService - Tentativa de cadastro de novo pedido - Código: PO-ECB5, Valor: 245.00, Fornecedor: BustaDisplays, Tipo: PECA
2026-03-08 15:35:52.098 [http-nio-8080-exec-2] INFO  C.Circuit.Service.PedidoService - Enviando email de notificação para fornecedor - Pedido: PO-ECB5
2026-03-08 15:35:52.099 [http-nio-8080-exec-2] INFO  C.Circuit.Service.PedidoService - Pedido cadastrado com sucesso - ID: 8, Código: PO-ECB5, Valor: 245.00
2026-03-08 15:38:42.801 [http-nio-8080-exec-7] INFO  C.Circuit.Service.VendaService - Tentativa de salvar venda - Código: VD-381F, Valor Total: 144.90, Status: PENDENTE, Cliente ID: 6, Funcionário ID: 4
2026-03-08 15:38:42.804 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Tentativa de retirar estoque de produto - ID: 1, Nome: Carregador Turbo 20W Tipo-C, Quantidade atual: 16, Quantidade a retirar: 1
2026-03-08 15:38:42.806 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Estoque de produto retirado com sucesso - ID: 1, Nome: Carregador Turbo 20W Tipo-C, Nova quantidade: 15
2026-03-08 15:38:42.807 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Tentativa de retirar estoque de produto - ID: 3, Nome: Película de Vidro 3D iPhone 11, Quantidade atual: 14, Quantidade a retirar: 1
2026-03-08 15:38:42.807 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Estoque de produto retirado com sucesso - ID: 3, Nome: Película de Vidro 3D iPhone 11, Nova quantidade: 13
2026-03-08 15:38:42.807 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Tentativa de retirar estoque de produto - ID: 4, Nome: Película de Vidro 3D Galaxy S23, Quantidade atual: 5, Quantidade a retirar: 1
2026-03-08 15:38:42.808 [http-nio-8080-exec-7] INFO  C.Circuit.Service.EstoqueService - Estoque de produto retirado com sucesso - ID: 4, Nome: Película de Vidro 3D Galaxy S23, Nova quantidade: 4
2026-03-08 15:38:42.814 [http-nio-8080-exec-7] INFO  C.Circuit.Service.VendaService - Venda salva com sucesso - ID: 6, Código: VD-381F, Valor Total: 144.90
2026-03-08 15:38:58.815 [http-nio-8080-exec-7] INFO  C.C.Service.ContaReceberService - Tentativa de recebimento de pagamento - ID: 8, Valor recebido: 600, Data: 2026-03-08, Forma: null, Condição: null, Parcelas: 1
2026-03-08 15:38:58.818 [http-nio-8080-exec-7] INFO  C.C.Service.ContaReceberService - Pagamento recebido com sucesso - ID: 8, Valor recebido: 600, Status: PAGO
2026-03-09 03:48:53.697 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 139.471.969-89
2026-03-09 03:48:53.791 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 139.471.969-89, Nome: Gustavo Erthal, Cargo: ADMIN
2026-03-09 03:53:11.283 [http-nio-8080-exec-9] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 111.111.111-11
2026-03-09 03:53:11.320 [http-nio-8080-exec-9] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 111.111.111-11, Nome: Admin, Cargo: ADMIN
2026-03-09 03:58:17.383 [http-nio-8080-exec-5] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Técnico, CPF: 222.222.222-22, Cargo: TECNICO
2026-03-09 03:58:17.491 [http-nio-8080-exec-5] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 3, Nome: Técnico, CPF: 222.222.222-22, Cargo: TECNICO
2026-03-09 03:58:36.621 [http-nio-8080-exec-1] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Vendedor, CPF: 333.333.333-33, Cargo: VENDEDOR
2026-03-09 03:58:36.697 [http-nio-8080-exec-1] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 4, Nome: Vendedor, CPF: 333.333.333-33, Cargo: VENDEDOR
2026-03-09 03:58:57.927 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Gerente, CPF: 444.444.444-44, Cargo: GERENTE
2026-03-09 03:58:58.002 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 5, Nome: Gerente, CPF: 444.444.444-44, Cargo: GERENTE
2026-03-09 04:01:12.209 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 111.111.111-11
2026-03-09 04:01:12.210 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 111.111.111-11, Nome: Administrador, Cargo: ADMIN
2026-03-09 04:01:36.895 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Técnico, CPF: 222.222.222-22, Cargo: TECNICO
2026-03-09 04:01:36.971 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 2, Nome: Técnico, CPF: 222.222.222-22, Cargo: TECNICO
2026-03-09 04:01:54.954 [http-nio-8080-exec-1] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Vendedor, CPF: 333.333.333-33, Cargo: VENDEDOR
2026-03-09 04:01:55.032 [http-nio-8080-exec-1] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 3, Nome: Vendedor, CPF: 333.333.333-33, Cargo: VENDEDOR
2026-03-09 04:02:19.762 [http-nio-8080-exec-7] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Gerente, CPF: 444.444.444-44, Cargo: GERENTE
2026-03-09 04:02:19.840 [http-nio-8080-exec-7] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 4, Nome: Gerente, CPF: 444.444.444-44, Cargo: GERENTE
2026-03-09 04:02:43.802 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Auxiliar, CPF: 555.555.555-55, Cargo: AUXILIAR
2026-03-09 04:02:43.878 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 5, Nome: Auxiliar, CPF: 555.555.555-55, Cargo: AUXILIAR
2026-03-09 04:03:14.421 [http-nio-8080-exec-6] INFO  C.Circuit.Service.UsuarioService - Tentativa de cadastro de novo usuário - Nome: Recepcionista, CPF: 666.666.666-66, Cargo: RECEPCIONISTA
2026-03-09 04:03:14.498 [http-nio-8080-exec-6] INFO  C.Circuit.Service.UsuarioService - Usuário cadastrado com sucesso - ID: 6, Nome: Recepcionista, CPF: 666.666.666-66, Cargo: RECEPCIONISTA
2026-03-09 04:03:45.082 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Tentativa de exclusão de usuário - ID: 6, Nome: Recepcionista, CPF: 666.666.666-66
2026-03-09 04:03:45.092 [http-nio-8080-exec-8] INFO  C.Circuit.Service.UsuarioService - Usuário desativado com sucesso - ID: 6, Nome: Recepcionista, CPF: 666.666.666-66
2026-03-09 04:03:53.259 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 666.666.666-66
2026-03-09 04:03:53.260 [http-nio-8080-exec-6] WARN  C.Circuit.Service.LoginService - Tentativa de login falhou: Usuário inativo - CPF: 666.666.666-66, Nome: Recepcionista
2026-03-09 04:04:00.338 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 666.666.666-66
2026-03-09 04:04:00.339 [http-nio-8080-exec-1] WARN  C.Circuit.Service.LoginService - Tentativa de login falhou: Usuário inativo - CPF: 666.666.666-66, Nome: Recepcionista
2026-03-09 04:04:06.560 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 555.555.555-55
2026-03-09 04:04:06.560 [http-nio-8080-exec-6] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 555.555.555-55, Nome: Auxiliar, Cargo: AUXILIAR
2026-03-09 04:04:10.448 [http-nio-8080-exec-2] INFO  C.Circuit.Security.LogoutHandler - Logout realizado - CPF: 555.555.555-55, Nome: Auxiliar
2026-03-09 04:04:10.448 [http-nio-8080-exec-2] INFO  C.Circuit.Service.LoginService - Logout realizado - CPF: 555.555.555-55, Nome: Auxiliar
2026-03-09 04:04:26.758 [http-nio-8080-exec-3] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 111.111.111-11
2026-03-09 04:04:26.759 [http-nio-8080-exec-3] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 111.111.111-11, Nome: Administrador, Cargo: ADMIN
2026-03-09 04:04:31.127 [http-nio-8080-exec-9] INFO  C.Circuit.Service.UsuarioService - Tentativa de restauração de usuário - ID: 6, Nome: Recepcionista, CPF: 666.666.666-66
2026-03-09 04:04:31.130 [http-nio-8080-exec-9] INFO  C.Circuit.Service.UsuarioService - Usuário restaurado com sucesso - ID: 6, Nome: Recepcionista, CPF: 666.666.666-66
2026-03-09 04:06:04.305 [http-nio-8080-exec-9] INFO  C.Circuit.Service.UsuarioService - Tentativa de exclusão de usuário - ID: 1, Nome: Administrador, CPF: 111.111.111-11
2026-03-09 04:06:04.307 [http-nio-8080-exec-9] INFO  C.Circuit.Service.UsuarioService - Usuário desativado com sucesso - ID: 1, Nome: Administrador, CPF: 111.111.111-11
2026-03-09 04:06:16.704 [http-nio-8080-exec-5] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 111.111.111-11
2026-03-09 04:06:16.705 [http-nio-8080-exec-5] WARN  C.Circuit.Service.LoginService - Tentativa de login falhou: Usuário inativo - CPF: 111.111.111-11, Nome: Administrador
2026-03-09 04:06:22.755 [http-nio-8080-exec-3] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 222.222.222-22
2026-03-09 04:06:22.756 [http-nio-8080-exec-3] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 222.222.222-22, Nome: Técnico, Cargo: TECNICO
2026-03-09 04:06:25.969 [http-nio-8080-exec-10] INFO  C.Circuit.Security.LogoutHandler - Logout realizado - CPF: 222.222.222-22, Nome: Técnico
2026-03-09 04:06:25.969 [http-nio-8080-exec-10] INFO  C.Circuit.Service.LoginService - Logout realizado - CPF: 222.222.222-22, Nome: Técnico
2026-03-09 04:06:39.080 [http-nio-8080-exec-8] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 333.333.333-33
2026-03-09 04:06:39.081 [http-nio-8080-exec-8] INFO  C.Circuit.Service.LoginService - Login realizado com sucesso - CPF: 333.333.333-33, Nome: Vendedor, Cargo: VENDEDOR
2026-03-09 04:06:48.604 [http-nio-8080-exec-1] INFO  C.Circuit.Service.LoginService - Tentativa de login para CPF: 444.444.444-44
